course,instructor,quarter,year,A,nLetterStudents
CHEM    124,PETTUS T R,Spring,2021,3,10
CHEM    123,DEVRIES M S,Spring,2021,45,147
CHEM    116BL,LAVERMAN L E,Spring,2021,30,104
CHEM    113C,BOWERS M T,Spring,2021,15,76
CHEM    113C,METIU H I,Spring,2021,31,82
CHEM    112L,KAHN K,Spring,2021,2,28
CHEM    112C,SEPUNARU L,Spring,2021,4,28
CHEM    109CH,LIPSHUTZ B H,Spring,2021,15,37
CHEM    109C,LEWIS R B,Spring,2021,216,675
CHEM    109B,LEWIS R B,Spring,2021,9,197
CHEM      6CL,GAINER M J,Spring,2021,2,21
CHEM      6BL,GAINER M J,Spring,2021,30,208
CHEM      6BH,READ DE ALANI,Spring,2021,0,5
CHEM      6AL,GAINER M J,Spring,2021,37,205
CHEM      2C,SESHADRI R,Spring,2021,26,42
CHEM      1CL,VAN KOPPEN P,Spring,2021,150,732
CHEM      1C,JOSEPH C A,Spring,2021,77,547
CHEM      1C,SYLVESTER B M,Spring,2021,66,273
CHEM      1BL,VAN KOPPEN P,Spring,2021,17,180
CHEM      1B,BERNT C M,Spring,2021,18,158
CHEM      1B,PRICE S P,Spring,2021,76,482
CHEM      1AL,VAN KOPPEN P,Spring,2021,20,107
CHEM      1A,FELDWINN D L,Spring,2021,9,184
CH ST   220,GARCIA S,Spring,2021,0,5
CH ST   197HC,GARCIA M,Spring,2021,1,5
CH ST   187,LOPEZ A N,Spring,2021,34,103
CH ST   183,HERNANDEZ E D,Spring,2021,23,30
CH ST   182,GARCIA-MARTIN,Spring,2021,8,22
CH ST   178A,SANCHEZ D,Spring,2021,16,30
CH ST   175,ARMBRUSTER R,Spring,2021,11,38
CH ST   166,MORENO CAMPOS,Spring,2021,22,37
CH ST   162L,SANDOVAL C,Spring,2021,10,11
CH ST   162,SANDOVAL C,Spring,2021,5,13
CH ST   125B,RODRIGUEZ C H,Spring,2021,11,37
CH ST   110,GARCIA S,Spring,2021,3,25
CH ST   101C,ZARATE A D,Spring,2021,5,20
CH ST     1B,DIAZ-SANCHEZ,Spring,2021,227,486
CH E    291,HELGESON M E,Spring,2021,0,0
CH E    291,O'MALLEY M A,Spring,2021,0,0
CH E    291,SEGALMAN R A,Spring,2021,0,0
CH E    291,SHELL M S,Spring,2021,0,0
CH E    290,SHELL M S,Spring,2021,0,0
CH E    230B,FREDRICKSON G,Spring,2021,9,14
CH E    216A,CHMELKA B F,Spring,2021,11,11
CH E    210B,SHELL M S,Spring,2021,6,11
CH E    184B,DOHERTY M F,Spring,2021,8,48
CH E    184B,MCFARLAND E W,Spring,2021,8,48
CH E    180B,CHADA J P,Spring,2021,15,50
CH E    180B,GORDON M J,Spring,2021,15,50
CH E    180B,HELGESON M E,Spring,2021,15,50
CH E    174,MUKHERJEE ARN,Spring,2021,6,6
CH E    173,O'MALLEY M A,Spring,2021,14,26
CH E    152B,RAWLINGS J B,Spring,2021,5,5
CH E    152A,CHADA J P,Spring,2021,18,52
CH E    140A,CHRISTOPHER P,Spring,2021,6,51
CH E    132A,TAKATORI S,Spring,2021,10,45
CH E    126,SQUIRES T M,Spring,2021,2,19
CH E    120C,DEY S S,Spring,2021,11,49
CH E    110B,HAN SONGI,Spring,2021,11,48
C LIT   591,MALEUVRE D,Spring,2021,0,0
C LIT   186WL,BENJAMIN R,Spring,2021,11,13
C LIT   186NW,SORENSON A H,Spring,2021,4,11
C LIT   186E,EZKERRA VEGAS,Spring,2021,1,10
C LIT   186AA,EZKERRA VEGAS,Spring,2021,0,5
C LIT   184A,AMIHAY O,Spring,2021,8,20
C LIT   180,SKENAZI E C,Spring,2021,10,24
C LIT   179A,LOVETT D W,Spring,2021,6,22
C LIT   170,JAN K L,Spring,2021,26,26
C LIT   162,AMAR P E,Spring,2021,7,20
C LIT   122B,MOAK D,Spring,2021,8,36
C LIT   121,JULLIEN D M,Spring,2021,2,8
C LIT    31,LI X,Spring,2021,41,146
C LIT    30H,MALEUVRE D,Spring,2021,2,9
C LIT    30C,MALEUVRE D,Spring,2021,62,180
C LIT    30C,POWERS R T,Spring,2021,68,129
BMSE    265,STREICHAN S,Spring,2021,0,0
BMSE    262,FOLTZ K R,Spring,2021,0,0
BMSE    215,PLAXCO K W,Spring,2021,3,8
BMSE    207,REICH N O,Spring,2021,3,5
BL ST   190,TINSLEY O N,Spring,2021,5,8
BL ST   179,AKUDINOBI J,Spring,2021,0,6
BL ST   172,ARGUERA S M,Spring,2021,14,60
BL ST   169AR,MCAULEY C,Spring,2021,15,52
BL ST   155,JACQUES G F,Spring,2021,1,7
BL ST   154,STEWART J C,Spring,2021,12,30
BL ST   151,AKUDINOBI J,Spring,2021,3,16
BL ST   146,JACQUES G F,Spring,2021,4,10
BL ST   122,EDWARDS J A,Spring,2021,12,51
BL ST   117,ALVES J A,Spring,2021,5,28
BL ST    49A,WARE R T,Spring,2021,12,20
BL ST    45,STEWART J C,Spring,2021,16,44
BL ST    15,TETTEGAH S Y,Spring,2021,31,98
BL ST     7,TINSLEY O N,Spring,2021,34,104
BL ST     3,MCAULEY C,Spring,2021,42,112
BL ST     2,ALVES J A,Spring,2021,23,49
BIOL CS 101,TYLER C M,Spring,2021,0,0
BIOL CS  30,LATTO J G,Spring,2021,0,0
BIOL CS  30,TYLER C M,Spring,2021,0,0
ASTRO     2,HOWELL D A,Spring,2021,3,36
ASTRO     1,GELLER R M,Spring,2021,84,175
AS AM   596,FUJINO D C,Spring,2021,10,10
AS AM   162,KHUC T T,Spring,2021,57,58
AS AM   156,PARK J S W,Spring,2021,2,30
AS AM   136,STOHLER J E,Spring,2021,20,71
AS AM   133,ZULUETA B C,Spring,2021,9,35
AS AM   116,STOHLER J E,Spring,2021,18,46
AS AM   111,WELTY L A,Spring,2021,8,37
AS AM    71,BUSTO R V,Spring,2021,62,99
AS AM     8,CHO A,Spring,2021,66,200
AS AM     2,ZULUETA B C,Spring,2021,39,193
ARTHI   282A,STURMAN P C,Spring,2021,5,5
ARTHI   253D,BADAMO H A,Spring,2021,4,5
ARTHI   187Z,PARDO GAVIRIA,Spring,2021,4,11
ARTHI   186SS,CHATTOPADHYAY,Spring,2021,9,15
ARTHI   186RS,STURMAN P C,Spring,2021,3,8
ARTHI   186O,CLARKE M E,Spring,2021,2,5
ARTHI   141MH,PARDO GAVIRIA,Spring,2021,14,46
ARTHI   141D,PAUL C,Spring,2021,14,49
ARTHI   138C,MCLEMORE E L,Spring,2021,34,57
ARTHI   138B,MCLEMORE E L,Spring,2021,30,56
ARTHI   136C,WHITE J S,Spring,2021,17,61
ARTHI   132I,KHOURY N N,Spring,2021,0,46
ARTHI   121D,OGBECHIE S O,Spring,2021,16,47
ARTHI   119F,MONAHAN L,Spring,2021,15,50
ARTHI   107A,MEADOW M A,Spring,2021,13,44
ARTHI   105Q,BADAMO H A,Spring,2021,23,51
ARTHI     6L,WHITE J S,Spring,2021,50,143
ARTHI     6DS,STURMAN P C,Spring,2021,21,90
ARTHI     6C,SORKIN JENNI,Spring,2021,125,417
ARTHI     5A,CHATTOPADHYAY,Spring,2021,43,162
ART  CS 112,CONNALLY D E,Spring,2021,0,0
ART  CS 112,EKSTROM L,Spring,2021,0,0
ART  CS 112,PITCHER H,Spring,2021,0,0
ART  CS 107,IGNON M E,Spring,2021,0,0
ART  CS 105,DJOUINI I,Spring,2021,0,0
ART  CS 101,CONNALLY D E,Spring,2021,0,0
ART     261,TASCHIAN H J,Spring,2021,8,8
ART     260,GARDNER C,Spring,2021,5,5
ART     185BD,BLUMENTHAL S,Spring,2021,18,19
ART     185BD,STEWART J C,Spring,2021,18,19
ART     137,FULBECK L K,Spring,2021,3,13
ART     134,MOULTON S M,Spring,2021,6,11
ART     130,TASCHIAN H J,Spring,2021,7,22
ART     122PC,BRADY S R,Spring,2021,13,14
ART     120PP,MYERS P M,Spring,2021,8,22
ART     118,BELTZ E A,Spring,2021,16,19
ART     117,BELTZ E A,Spring,2021,14,23
ART     113,BECKMAN L B,Spring,2021,6,10
ART     106PP,YASUDA K,Spring,2021,7,14
ART     101,CALLISTER J,Spring,2021,9,13
ART     100,CALLISTER J,Spring,2021,6,19
ART      22,ZHANG W,Spring,2021,2,19
ART      14,DJOUINI I,Spring,2021,5,14
ART      12,TAUBE J A,Spring,2021,5,13
ART      10,ARGENT P,Spring,2021,5,17
ART       7A,FULBECK L K,Spring,2021,64,132
ART       1C,TASCHIAN H J,Spring,2021,144,211
ART       1A,TASCHIAN H J,Spring,2021,27,85
ANTH    250IA,GURVEN M D,Spring,2021,4,6
ANTH    250BH,HARTHORN B H,Spring,2021,5,5
ANTH    241A,BODDY A M,Spring,2021,5,5
ANTH    232,LAWSON D W,Spring,2021,0,0
ANTH    197XY,MCCLURE S B,Spring,2021,10,32
ANTH    197ES,SALDIVAR TANA,Spring,2021,0,15
ANTH    197EB,WAHLERT G A,Spring,2021,12,17
ANTH    197DB,GIDDING A D,Spring,2021,4,15
ANTH    197AC,VANDERWARKER,Spring,2021,0,27
ANTH    195A,SALDIVAR TANA,Spring,2021,5,10
ANTH    193,VANDERWARKER,Spring,2021,0,6
ANTH    186Z,MCCLURE S B,Spring,2021,1,11
ANTH    180B,KURIN D S,Spring,2021,20,20
ANTH    171,BODDY A M,Spring,2021,41,96
ANTH    170,LAWSON D W,Spring,2021,12,90
ANTH    169,GURVEN M D,Spring,2021,9,24
ANTH    151T,GAULIN S J,Spring,2021,19,94
ANTH    138,HARTHORN B H,Spring,2021,14,27
ANTH    131CA,RARESHIDE E,Spring,2021,9,69
ANTH    129,WERTH S,Spring,2021,4,29
ANTH    121,KURIN D S,Spring,2021,44,58
ANTH      9,DAVISON R J,Spring,2021,4,19
ANTH      3,KENNETT D J,Spring,2021,91,250
ANTH      2,RESNICK E F,Spring,2021,217,517
WRIT W  109ST,FRANK D M,Summer,2021,16,21
WRIT W  107WC,BROWN KARA,Summer,2021,15,22
WRIT W  107WC,WEBBER M A,Summer,2021,17,20
WRIT    109SS,BAILLARGEON K,Summer,2021,18,20
WRIT    109HU,DONELAN J H,Summer,2021,4,14
WRIT    109F,HARRIS-MOORE,Summer,2021,11,40
WRIT    109F,HUK P M,Summer,2021,21,23
WRIT    107P,WILLIAMS A M,Summer,2021,5,13
WRIT    107L,BAILLARGEON K,Summer,2021,10,19
WRIT    107J,MENA H P,Summer,2021,2,17
WRIT    107G,HUK P M,Summer,2021,13,20
WRIT    107G,ROGERS P M,Summer,2021,15,16
WRIT    107B,GENOVA G L,Summer,2021,2,17
WRIT    107B,JOHNSON J K,Summer,2021,5,38
WRIT    107B,KRUT R M,Summer,2021,28,46
WRIT    107B,MCHUGH P,Summer,2021,13,38
WRIT    107B,RUTHERFORD K,Summer,2021,24,40
WRIT    105WE,MENA H P,Summer,2021,8,18
WRIT    105R,SAUR E H,Summer,2021,9,17
WRIT    105PS,COTICH C,Summer,2021,2,19
WRIT    105PS,GENOVA G L,Summer,2021,6,19
WRIT    105G,COTICH C,Summer,2021,2,20
WRIT    105C,BROWN KARA,Summer,2021,12,18
WRIT     50,YAMBOLIEV K I,Summer,2021,3,12
WRIT      2,BROWN KARA,Summer,2021,10,22
WRIT      2,CHAJDAS T W,Summer,2021,10,23
WRIT      2,CHENOWETH R C,Summer,2021,7,17
WRIT      2,DONELAN J H,Summer,2021,7,34
WRIT      2,JOHNSON J A,Summer,2021,12,23
WRIT      2,KRUT R M,Summer,2021,14,19
WRIT      2,MINOR R H,Summer,2021,12,20
WRIT      2,MOORE J S,Summer,2021,3,22
WRIT      2,SAUR E H,Summer,2021,19,36
WRIT      2,TUMEN M E,Summer,2021,4,19
WRIT      2,WEBBER M A,Summer,2021,7,23
WRIT      2,WILLIAMS A M,Summer,2021,8,23
WRIT      2,YAMBOLIEV K I,Summer,2021,1,18
WRIT      1,JOHNSON J A,Summer,2021,11,18
WRIT      1,SMITH K A,Summer,2021,15,40
W&L  CS 170,BROWN R L,Summer,2021,0,0
TMP     127,ZACKRISON E J,Summer,2021,8,17
TMP     124,GABRIELE G F,Summer,2021,20,24
TMP     120,ZACKRISON E J,Summer,2021,31,93
TMP     111,GREATHOUSE J,Summer,2021,0,1
THTR W   19,SCOTT V,Summer,2021,23,44
THTR W    2B,NAKAMURA J C,Summer,2021,17,52
THTR    144B,APPEL I J,Summer,2021,20,27
THTR    144A,APPEL I J,Summer,2021,20,27
THTR      5,PENNINGTON H,Summer,2021,5,12
THTR      5,PLASENCIA M,Summer,2021,8,15
THTR      2C,CLAVERIA A J,Summer,2021,2,9
SPAN W    2,BARRY C M,Summer,2021,1,17
SPAN W    2,MOREJON C,Summer,2021,5,19
SPAN W    1,CARTER M L,Summer,2021,2,19
SPAN W    1,CRAVEIRO DE M,Summer,2021,7,19
SPAN    147,GOMEZ J P,Summer,2021,6,17
SPAN    126,GRASSET MOREL,Summer,2021,14,40
SPAN    124,ALVES FERREIR,Summer,2021,3,9
SPAN    103,DE FRUTOS GAR,Summer,2021,2,22
SPAN    103,LOPEZ VERA A,Summer,2021,2,22
SPAN      3,ANDUGAR SOUSA,Summer,2021,7,23
SPAN      3,STRATAN S,Summer,2021,5,23
SOC     185S,NGUYEN H-A T,Summer,2021,7,39
SOC     185E,RAYMOND G,Summer,2021,24,67
SOC     159M,BRIDGES T S,Summer,2021,28,72
SOC     155,TAYLOR C J,Summer,2021,19,84
SOC     153,ROBINSON S L,Summer,2021,44,82
SOC     147,CAST A D,Summer,2021,23,81
SOC     145,DEVOTO S A,Summer,2021,20,79
SOC     144,MALDONADO FAB,Summer,2021,15,80
SOC     134,SUAREZ F,Summer,2021,11,60
SOC     128,LOE-STERPHONE,Summer,2021,24,79
SOC     108ST,SORIN C R,Summer,2021,28,50
SOC     108C,WALLER I A,Summer,2021,21,55
SOC       1,CLEGG M B,Summer,2021,18,62
SOC       1,KAPLAN R E,Summer,2021,51,78
RG ST   193B,TAKKINEN J H,Summer,2021,4,19
RG ST   190EP,DEVOY M A,Summer,2021,2,11
RG ST   147,ATNIP L M,Summer,2021,4,10
RG ST   116A,ZIMMERMAN D S,Summer,2021,1,19
RG ST    28,VYAS M M,Summer,2021,6,15
RG ST    18,FISHER N,Summer,2021,3,14
RG ST    14,WHITESIDES K,Summer,2021,8,15
RG ST    12,APPLEWHITE C,Summer,2021,8,19
RG ST     7,WALKER D S,Summer,2021,11,17
RG ST     5,BALLMES V J,Summer,2021,3,12
RG ST     4,IUM M H,Summer,2021,18,41
RG ST     4,STEAVU-BALINT,Summer,2021,20,38
RG ST     3,SIBLEY C M,Summer,2021,9,25
RG ST     1,MORALES C T,Summer,2021,3,13
RG ST     1,SNEDIKER T B,Summer,2021,19,24
PSY     159,ORTOSKY L E,Summer,2021,8,45
PSY     152,PADILLA-GARCI,Summer,2021,28,44
PSY     149,WU D C,Summer,2021,18,47
PSY     148,KLEIN S B,Summer,2021,7,46
PSY     146,WALTER K V,Summer,2021,31,71
PSY     130,ROSEDAHL L A,Summer,2021,44,73
PSY     123,ROSEDAHL L A,Summer,2021,7,38
PSY     121,ORTOSKY L E,Summer,2021,15,49
PSY     120L,WELLS A K,Summer,2021,12,47
PSY     111L,JIMENEZ CHAVE,Summer,2021,5,23
PSY     108,GROSS M E,Summer,2021,19,62
PSY     108,LAWSON A P,Summer,2021,23,44
PSY     106,MAYS K C,Summer,2021,27,135
PSY     105,MERMELSTEIN S,Summer,2021,43,137
PSY     102,SALEM R M,Summer,2021,19,83
PSY     102,SMALL P A,Summer,2021,21,74
PSY      10B,KLEIN D S,Summer,2021,29,81
PSY      10B,WU V,Summer,2021,21,50
PSY      10A,SALEM R M,Summer,2021,16,85
PSY      10A,WU V,Summer,2021,17,60
PSY       1,IHM E D,Summer,2021,22,99
PSTATW  120A,BANG S,Summer,2021,8,54
PSTATW  120A,LIU M,Summer,2021,11,59
PSTATW  120A,PARK M,Summer,2021,13,66
PSTAT   171,DUNCAN I,Summer,2021,2,51
PSTAT   170,PEDERSEN H W,Summer,2021,3,28
PSTAT   140,HOLMES D E,Summer,2021,25,82
PSTAT   134,SUN Y,Summer,2021,14,45
PSTAT   130,HE J,Summer,2021,21,77
PSTAT   130,SWENSON J S,Summer,2021,18,81
PSTAT   126,LI ZHIJIAN,Summer,2021,5,31
PSTAT   126,RUIZ T D,Summer,2021,39,47
PSTAT   120C,GHOSAL A,Summer,2021,10,49
PSTAT   120B,HE J,Summer,2021,5,49
PSTAT   120B,MISRA N,Summer,2021,2,21
PSTAT   120B,RUIZ T D,Summer,2021,16,55
PSTAT   109,PADILLA D Y,Summer,2021,12,67
PSTAT   109,WAINWRIGHT B,Summer,2021,16,61
PSTAT    10,HOLMES D E,Summer,2021,11,46
PSTAT     5LS,DUAN S,Summer,2021,6,51
PSTAT     5A,BORSA C,Summer,2021,4,66
PSTAT     5A,SWENSON J S,Summer,2021,9,68
POL SW  121,STRATHMAN B A,Summer,2021,3,63
POL S   177,HUNNICUTT P L,Summer,2021,5,63
POL S   170,NALL C M,Summer,2021,9,22
POL S   157,FONTAINE S A,Summer,2021,8,57
POL S   154,GOMEZ D M,Summer,2021,14,54
POL S   146,MOOSBRUGGER L,Summer,2021,9,53
POL S    15,STEIN E A,Summer,2021,1,32
POL S    12,FENG J L,Summer,2021,4,46
POL S     7,ROHRER K A,Summer,2021,10,51
POL S     6,MOOSBRUGGER L,Summer,2021,6,49
POL S     1,STEIN E A,Summer,2021,2,49
PHYS    129L,LIPMAN E A,Summer,2021,2,17
PHYS    128AL,LIPMAN E A,Summer,2021,1,9
PHYS    127AL,EL-SOUSSI M H,Summer,2021,13,24
PHYS    119A,CISLO D J,Summer,2021,6,46
PHYS    115C,BIBILASHVILI,Summer,2021,4,25
PHYS    115A,BIBILASHVILI,Summer,2021,5,35
PHYS    110A,ELTAWIL N A,Summer,2021,1,21
PHYS    104,KRISTIANSEN K,Summer,2021,2,18
PHYS    103,KRISTIANSEN K,Summer,2021,12,60
PHYS    101,CARLSON J M,Summer,2021,3,22
PHYS      8,BIBILASHVILI,Summer,2021,3,13
PHYS      6CL,BERENSTEIN D,Summer,2021,71,244
PHYS      6CL,POPESCU P F,Summer,2021,71,244
PHYS      6C,FREUND E G,Summer,2021,114,292
PHYS      6BL,BERENSTEIN D,Summer,2021,53,191
PHYS      6BL,POPESCU P F,Summer,2021,53,191
PHYS      6B,FREUND E G,Summer,2021,72,219
PHYS      6AL,BERENSTEIN D,Summer,2021,63,240
PHYS      6AL,POPESCU P F,Summer,2021,63,240
PHYS      6A,GELLER R M,Summer,2021,194,274
PHYS      2,POPESCU P F,Summer,2021,14,49
PHYS      1,POPESCU P F,Summer,2021,12,47
PHIL    164,BARNES D B,Summer,2021,4,35
PHIL    145,BRITTON C J,Summer,2021,6,49
PHIL    112,ZAHN S E,Summer,2021,10,48
PHIL    100D,FALVEY K T,Summer,2021,1,26
PHIL    100B,BAGWELL J N,Summer,2021,4,35
PHIL      7,DICKEY K M,Summer,2021,16,34
PHIL      4,LAMB R C,Summer,2021,17,50
PHIL      4,LEBRUN A S,Summer,2021,17,48
PHIL      3,PIERCE S G,Summer,2021,36,88
PHIL      1,KING D A,Summer,2021,13,63
MUS     114,HOLTON J D,Summer,2021,29,89
MUS     109CA,ELWELL K,Summer,2021,4,30
MUS     109CA,RADNA R,Summer,2021,4,30
MUS      17,KARVELAS B A,Summer,2021,14,38
MUS      15,LOMBARDINO M,Summer,2021,34,66
MUS      15,WILLIAMS M L,Summer,2021,46,67
MUS      11,BAUSCH T C,Summer,2021,14,43
MUS      11,CASSIDY T C,Summer,2021,26,56
MES      45,FALLAS A,Summer,2021,6,15
ME       17,GIBOU F G,Summer,2021,4,16
ME       16,MOEHLIS J M,Summer,2021,2,5
ME       15,BELTZ G,Summer,2021,6,8
ME       14,LANE K V,Summer,2021,8,17
MCDB W  138,SEARS D W,Summer,2021,3,25
MCDB W  108A,SEARS D W,Summer,2021,3,25
MCDB    111,THROWER D A,Summer,2021,117,227
MCDB    108B,LEW G J,Summer,2021,3,42
MCDB    101B,CHRISTOFFERSE,Summer,2021,27,59
MCDB    101A,GONZALEZ NINO,Summer,2021,16,137
MCDB      6,AZARENKO O,Summer,2021,63,126
MCDB      1LL,CHRISTOFFERSE,Summer,2021,72,151
MCDB      1LL,FINKELSTEIN R,Summer,2021,72,151
MCDB      1LL,NGUYEN A T,Summer,2021,72,151
MCDB      1B,LOW S H,Summer,2021,9,217
MCDB      1A,SMITH H M,Summer,2021,34,223
MATH    147A,YE R,Summer,2021,9,43
MATH    145,AVETISYAN Z,Summer,2021,2,25
MATH    124A,LABUTIN D A,Summer,2021,5,35
MATH    122B,OGRAIN C M,Summer,2021,1,11
MATH    122A,HARUTYUNYAN D,Summer,2021,13,95
MATH    117,BIRNIR B,Summer,2021,73,94
MATH    117,LIM G,Summer,2021,0,27
MATH    108B,YE R,Summer,2021,13,55
MATH    108A,HAJOUJI N,Summer,2021,3,46
MATH    104C,CENICEROS H,Summer,2021,11,28
MATH    104B,CENICEROS H,Summer,2021,20,31
MATH    104A,YANG XU,Summer,2021,24,60
MATH    100B,SCHLEY N B,Summer,2021,0,0
MATH    100A,SCHLEY N B,Summer,2021,0,0
MATH     34B,BAREI A,Summer,2021,9,34
MATH     34B,VANDEVEER J B,Summer,2021,7,23
MATH     34A,ALTHAUSER S B,Summer,2021,23,40
MATH     34A,MERKL K E,Summer,2021,16,32
MATH      8,KIM HYUN-JUNG,Summer,2021,19,57
MATH      8,PORTER M J,Summer,2021,40,73
MATH      6B,HALMRAST D M,Summer,2021,14,30
MATH      6B,MARTINS RODRI,Summer,2021,9,40
MATH      6B,SUN C,Summer,2021,4,37
MATH      6A,HALMRAST D M,Summer,2021,9,23
MATH      6A,LIM G,Summer,2021,1,23
MATH      6A,MOLANDER M A,Summer,2021,14,80
MATH      6A,WAGNER Z J,Summer,2021,20,84
MATH      4B,NAGY A,Summer,2021,14,71
MATH      4B,RICCI F,Summer,2021,4,56
MATH      4A,SEHAYEK S B,Summer,2021,22,56
MATH      4A,TRISAL A V,Summer,2021,6,52
MATH      3B,PARKER M,Summer,2021,19,54
MATH      3B,YAN J,Summer,2021,2,23
MATH      3A,CROW E M,Summer,2021,9,21
MATH      3A,WELLS S B,Summer,2021,3,16
MAT      80XU,CRAWSHAW A S,Summer,2021,1,9
LING    194,VENTAYOL BOAD,Summer,2021,8,18
LING    180,EXFORD J L,Summer,2021,29,53
LING    149,BELMAR VIERNE,Summer,2021,20,30
LING    106,GORDON M K,Summer,2021,4,26
LING     80,TSIKEWA A F,Summer,2021,0,17
LING     20,FAWCETT A Z,Summer,2021,5,34
LING     15,KENNEDY R A,Summer,2021,9,42
LING     12,ELLIOTT G,Summer,2021,3,14
LING     12,WEBB M T,Summer,2021,4,16
LING      3C,MULLEN J O,Summer,2021,5,17
LAIS    101,MCQUILKIN C R,Summer,2021,3,21
KOR       3,LEE W A,Summer,2021,12,18
KOR       2,LEE W A,Summer,2021,10,15
KOR       1,LEE W A,Summer,2021,13,15
JAPAN   165,MOORE K,Summer,2021,25,142
JAPAN     3,HASHIMOTO K,Summer,2021,8,17
JAPAN     2,HASHIMOTO K,Summer,2021,9,22
JAPAN     1,HASHIMOTO K,Summer,2021,8,25
ITAL     20X,FESTA E,Summer,2021,2,13
ITAL      3,DAHL SARNELLI,Summer,2021,4,16
ITAL      2,FESTA E,Summer,2021,4,10
ITAL      1,CRICKETTE M E,Summer,2021,5,12
INT  W  188E,HARTMAN J L,Summer,2021,0,0
INT  W  188C,MULLIN D I,Summer,2021,0,0
INT  W  120,DOMINGUEZ-WHI,Summer,2021,0,0
INT  W   22,ZHENG X,Summer,2021,0,1
INT  W   20,ALAVI S M,Summer,2021,0,0
INT  W   20,MUWWAKKIL J J,Summer,2021,0,0
INT     189BD,LEE H,Summer,2021,0,0
INT     189BB,REICH N O,Summer,2021,0,0
INT     186ED,PHOMMASA M,Summer,2021,0,0
INT     133C,IHM E D,Summer,2021,20,28
INT     133C,TAVES A,Summer,2021,20,28
INT     133B,FORAN J F,Summer,2021,1,9
INT     133B,HILTNER K C,Summer,2021,1,9
INT      95C,GALLUCCI R,Summer,2021,164,172
INT      95C,SHISHIM M D,Summer,2021,164,172
INT      95A,GALLUCCI R,Summer,2021,322,395
INT      95A,SHISHIM M D,Summer,2021,322,395
INT      94ZZ,ZHAO X,Summer,2021,0,0
INT      94VK,PRICE S P,Summer,2021,0,0
INT      94VK,SYLVESTER B M,Summer,2021,0,0
INT      94RG,LEE H,Summer,2021,0,0
INT      94IM,PARK J S W,Summer,2021,0,0
INT      94GZ,SMITH S T,Summer,2021,0,0
INT      94FC,DUTSCH D,Summer,2021,0,0
INT      93R,KIM L,Summer,2021,55,74
INT      93P,KIM L,Summer,2021,60,74
INT      93LS,ALZAGATITI J,Summer,2021,11,27
INT      93LS,BRANDT G M,Summer,2021,15,27
INT      93LS,EDWARDS A L,Summer,2021,16,27
INT      93LS,GRECO A L,Summer,2021,26,27
INT      93LS,JENSEN A M,Summer,2021,24,26
INT      93LS,KIM Y,Summer,2021,9,27
INT      93LS,SOLGI M,Summer,2021,23,26
INT      93LS,STURM I N,Summer,2021,23,27
INT      93LS,YU YIN,Summer,2021,12,25
INT      88AG,BIBILASHVILI,Summer,2021,0,0
INT      88AF,TYLER C M,Summer,2021,0,0
INT      88AC,CORTIJO A,Summer,2021,0,0
INT      88AB,JAMIESON A E,Summer,2021,0,0
INT      64,HARGENS M N,Summer,2021,0,0
INT      64,HUANG CAROL,Summer,2021,0,0
INT      35LT,APPEL I J,Summer,2021,15,30
INT      35LT,KEARNEY J J,Summer,2021,15,30
INT      35HD,BOULEY B A,Summer,2021,9,18
INT      35HD,LATTO J G,Summer,2021,9,18
INT      10,ROOSE H M,Summer,2021,153,185
HIST W   80,BARBIERI A J,Summer,2021,66,187
HIST W    4B,BOULEY B A,Summer,2021,19,49
HIST W    2A,BARBIERI A J,Summer,2021,6,46
HIST    184B,LAU Q,Summer,2021,6,24
HIST    177,REHNBERG N M,Summer,2021,15,34
HIST    175B,DE SILVA N B,Summer,2021,8,29
HIST    173T,ADAMS B,Summer,2021,21,24
HIST    171D,JENSEN A M,Summer,2021,6,24
HIST    141B,THOMAS-MCGILL,Summer,2021,12,26
HIST    135B,SALUSCHEV S,Summer,2021,12,25
HIST    117C,CRISLER J F,Summer,2021,5,24
HIST    114A,ANDERSSON E A,Summer,2021,3,23
HIST    101,MINOR R H,Summer,2021,16,27
HIST     74,KASSNER N M,Summer,2021,9,52
HIST     20,MCCRAY W P,Summer,2021,7,40
HIST     17C,RAZEK R D,Summer,2021,28,86
HIST     17B,COLES A P,Summer,2021,42,101
HIST      4C,SCHMIDT E M,Summer,2021,11,83
HIST      2C,JOHNSON J A,Summer,2021,22,81
GLOBL   124,AHMED J,Summer,2021,4,33
GLOBL   120,GUIRGUIS C M,Summer,2021,10,35
GLOBL   118,MOREIRA V S,Summer,2021,7,34
GLOBL   104,PINHEIRO DE O,Summer,2021,0,29
GLOBL     2,AHMED J,Summer,2021,13,53
GLOBL     1,MOAK D,Summer,2021,71,151
GER     109AA,STROBEL M,Summer,2021,7,9
GER      55A,SUN X,Summer,2021,5,18
GER       3,PAJAK A K,Summer,2021,4,12
GER       2,WHITE K D,Summer,2021,9,18
GER       1,WHITE K D,Summer,2021,7,16
GEOG W   12,ROBINSON M A,Summer,2021,37,77
GEOG    176A,NOI E,Summer,2021,14,25
GEOG     20,JAMES A K,Summer,2021,27,45
GEOG     13,JOHNSON J M,Summer,2021,5,18
GEOG      5,KIRKBY J M,Summer,2021,2,18
GEOG      4,EYELADE O D,Summer,2021,6,24
GEOG      3,EYELADE O D,Summer,2021,9,29
FR      154G,TYBJERG D M,Summer,2021,6,12
FR      154F,TUDISCO J J,Summer,2021,9,23
