course,instructor,quarter,year,A,nLetterStudents
THTR    151S,STEIN D A,Winter,2021,0,9
THTR    151D,HARRIS O,Winter,2021,8,9
THTR    151D,TORSIGLIERI A,Winter,2021,8,9
THTR    151B,FISHELL J K,Winter,2021,11,12
THTR    149,BRAININ R,Winter,2021,6,8
THTR    149,FISHELL J K,Winter,2021,5,5
THTR    149,TORSIGLIERI A,Winter,2021,5,5
THTR    142,APPEL I J,Winter,2021,3,13
THTR    123,SCOTT V,Winter,2021,10,11
THTR    111B,COWANS N,Winter,2021,8,12
THTR    110B,STEIN D A,Winter,2021,11,12
THTR    104C,BERNARD M A,Winter,2021,1,18
THTR    104A,MORTON C,Winter,2021,5,8
THTR     25,BRUICE A M,Winter,2021,5,7
THTR     22,MITCHELL G M,Winter,2021,4,15
THTR     15B,APPEL I J,Winter,2021,15,18
THTR     11B,COWANS N,Winter,2021,13,18
THTR     10B,STEIN D A,Winter,2021,5,18
THTR      9,WEAR R S,Winter,2021,8,21
THTR      5,FISHELL J K,Winter,2021,76,135
THTR      5,MANCINI D G,Winter,2021,15,27
THTR      1,KING W D,Winter,2021,30,79
SPAN W    2,CENICEROS R C,Winter,2021,7,47
SPAN W    2,MARQUES-PASCU,Winter,2021,4,65
SPAN W    1,MARQUES-PASCU,Winter,2021,19,99
SPAN    594HL,MARQUES-PASCU,Winter,2021,4,10
SPAN    591,MARQUES-PASCU,Winter,2021,0,0
SPAN    295B,GRASSET MOREL,Winter,2021,4,4
SPAN    189,GONZALES-SMIT,Winter,2021,8,21
SPAN    187A,CABRANES-GRAN,Winter,2021,12,13
SPAN    186FL,MARQUES-PASCU,Winter,2021,6,15
SPAN    179,MCCRACKEN E,Winter,2021,5,43
SPAN    154B,EZKERRA VEGAS,Winter,2021,2,13
SPAN    145,GONZALES-SMIT,Winter,2021,15,22
SPAN    141,POOT-HERRERA,Winter,2021,12,31
SPAN    126,GRASSET MOREL,Winter,2021,20,60
SPAN    120A,MCCRACKEN E,Winter,2021,1,26
SPAN    117C,MIGLIO V G,Winter,2021,5,7
SPAN    117B,MIGLIO V G,Winter,2021,14,24
SPAN    115,ALVES FERREIR,Winter,2021,8,21
SPAN    112A,CORTIJO A,Winter,2021,9,16
SPAN    111B,CASTILLO J L,Winter,2021,11,21
SPAN    100,RAPOSO E,Winter,2021,11,60
SPAN     30,GONZALES-SMIT,Winter,2021,22,49
SPAN     25,MARQUES-PASCU,Winter,2021,7,22
SPAN     16B,GUYTON ACOSTA,Winter,2021,6,43
SPAN     16A,MARQUES-PASCU,Winter,2021,4,41
SPAN      6,RIAZI T,Winter,2021,2,36
SPAN      5,MARQUES-PASCU,Winter,2021,12,56
SPAN      4,MARQUES-PASCU,Winter,2021,4,25
SPAN      3,MARQUES-PASCU,Winter,2021,5,44
SPAN      2HY,MARQUES-PASCU,Winter,2021,3,17
SOC     501,HAJJAR L,Winter,2021,0,0
SOC     501,RAYMOND E,Winter,2021,0,0
